examin_year,ctpr_nm,signgu_nm,emd_nm,tot_sum_ruse,tot_sum_incnr,tot_sum_bryng,tot_sum_etc,pblc_prces_ruse,pblc_prces_incnr,pblc_prces_bryng,pblc_prces_etc,self_prces_ruse,self_prces_incnr,self_prces_bryng,self_prces_etc,cnsgn_prces_ruse,cnsgn_prces_incnr,cnsgn_prces_bryng,cnsgn_prces_etc,tot_sum
"2019",강원,동해시,동호동,"23.79090166","0","0","0","0","0","0","0","0","0","0","0","23.79090166","0","0","0","23.79090166"
"2019",강원,동해시,천곡동,"132.9798281","0","0","0","0","0","0","0","0","0","0","0","132.9798281","0","0","0","132.9798281"
"2019",강원,동해시,망상동,"16.98592607","0","0","0","0","0","0","0","0","0","0","0","16.98592607","0","0","0","16.98592607"
"2019",강원,동해시,송정동,"19.22184662","0","0","0","0","0","0","0","0","0","0","0","19.22184662","0","0","0","19.22184662"
"2019",강원,동해시,북삼동,"90.2189523","0","0","0","0","0","0","0","0","0","0","0","90.2189523","0","0","0","90.2189523"
"2019",강원,동해시,삼화동,"13.62320762","0","0","0","0","0","0","0","0","0","0","0","13.62320762","0","0","0","13.62320762"
"2019",강원,삼척시,교동,"0","0","91.30653957","0","0","0","91.30653957","0","0","0","0","0","0","0","0","0","91.30653957"
"2019",강원,삼척시,가곡면,"0","0","4.39943174","0","0","0","4.39943174","0","0","0","0","0","0","0","0","0","4.39943174"
"2019",강원,삼척시,노곡면,"0","0","4.387211096","0","0","0","4.387211096","0","0","0","0","0","0","0","0","0","4.387211096"
"2019",강원,삼척시,도계읍,"0","0","66.55362571","0","0","0","66.55362571","0","0","0","0","0","0","0","0","0","66.55362571"
"2019",강원,삼척시,신기면,"0","0","4.130577578","0","0","0","4.130577578","0","0","0","0","0","0","0","0","0","4.130577578"
"2019",강원,삼척시,원덕읍,"0","0","20.58567435","0","0","0","20.58567435","0","0","0","0","0","0","0","0","0","20.58567435"
"2019",강원,삼척시,하장면,"0","0","8.291706766","0","0","0","8.291706766","0","0","0","0","0","0","0","0","0","8.291706766"
"2019",강원,삼척시,남양동,"0","0","47.90492339","0","0","0","47.90492339","0","0","0","0","0","0","0","0","0","47.90492339"
"2019",강원,삼척시,근덕면,"0","0","32.44580908","0","0","0","32.44580908","0","0","0","0","0","0","0","0","0","32.44580908"
"2019",강원,삼척시,성내동,"0","0","51.24726945","0","0","0","51.24726945","0","0","0","0","0","0","0","0","0","51.24726945"
"2019",강원,삼척시,정라동,"0","0","57.21705391","0","0","0","57.21705391","0","0","0","0","0","0","0","0","0","57.21705391"
"2019",강원,삼척시,미로면,"0","0","11.53017735","0","0","0","11.53017735","0","0","0","0","0","0","0","0","0","11.53017735"
"2019",강원,속초시,대포동,"0","113.5732277","0","0","0","113.5732277","0","0","0","0","0","0","0","0","0","0","113.5732277"
"2019",강원,속초시,조양동,"0","966.5248331","0","0","0","966.5248331","0","0","0","0","0","0","0","0","0","0","966.5248331"
"2019",강원,속초시,노학동,"0","770.6172206","0","0","0","770.6172206","0","0","0","0","0","0","0","0","0","0","770.6172206"
"2019",강원,속초시,교동,"0","352.669161","0","0","0","352.669161","0","0","0","0","0","0","0","0","0","0","352.669161"
"2019",강원,속초시,청호동,"0","157.4352579","0","0","0","157.4352579","0","0","0","0","0","0","0","0","0","0","157.4352579"
